"rules","support","confidence","coverage","lift","count"
"{Sex=M,Height=[0.174,0.2),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.315,0.413),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,1,0.000239406272444338,2088.5,1
"{Length=[0.602,0.67),Height=[0.2,1.13],WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Diameter=[0.429,0.494),Height=[0.2,1.13],WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Diameter=[0.429,0.494),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419)} => {Rings=26}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Sex=M,Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419)} => {Rings=26}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Sex=M,Length=[0.53,0.602),Diameter=[0.494,0.65],VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Diameter=[0.429,0.494),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Sex=F,Diameter=[0.429,0.494),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Length=[0.602,0.67),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Sex=F,Length=[0.602,0.67),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],WholeWeight=[1,1.34),VisceraWeight=[0.16,0.234),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Sex=M,Diameter=[0.494,0.65],WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.5,0.000478812544888676,2088.5,1
"{Height=[0.2,1.13],WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Diameter=[0.429,0.494),Height=[0.2,1.13],VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Diameter=[0.429,0.494),WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Length=[0.602,0.67),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=F,WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Length=[0.602,0.67),Diameter=[0.429,0.494),WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Diameter=[0.494,0.65],Height=[0.174,0.2),WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419)} => {Rings=26}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],Height=[0.174,0.2),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],VisceraWeight=[0.16,0.234),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Diameter=[0.429,0.494),Height=[0.2,1.13],WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=F,Diameter=[0.429,0.494),Height=[0.2,1.13],WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=F,Length=[0.602,0.67),Height=[0.2,1.13],VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=F,Length=[0.602,0.67),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=F,Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=F,Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=M,Diameter=[0.494,0.65],WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=M,Diameter=[0.494,0.65],ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=M,Length=[0.53,0.602),Diameter=[0.494,0.65],ShuckedWeight=[0.28,0.419),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=F,Length=[0.67,0.815],Height=[0.174,0.2),WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.315,0.413),ShellWeight=[0.388,0.534)} => {Rings=29}",0.000239406272444338,0.333333333333333,0.000718218817333014,1392.33333333333,1
"{Sex=F,WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Length=[0.67,0.815],Height=[0.2,1.13],WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Length=[0.67,0.815],WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Diameter=[0.494,0.65],WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Length=[0.67,0.815],Height=[0.2,1.13],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=F,Length=[0.67,0.815],Height=[0.2,1.13],VisceraWeight=[0.234,0.315),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=F,Height=[0.2,1.13],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=M,Length=[0.67,0.815],Height=[0.174,0.2),WholeWeight=[1.34,1.78),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=F,Length=[0.67,0.815],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=M,Height=[0.174,0.2),WholeWeight=[1.34,1.78),VisceraWeight=[0.315,0.413),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=M,Length=[0.67,0.815],Height=[0.174,0.2),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.315,0.413)} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=M,Diameter=[0.494,0.65],Height=[0.174,0.2),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.315,0.413)} => {Rings=24}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=F,Length=[0.53,0.602),Diameter=[0.429,0.494),Height=[0.174,0.2),WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),ShellWeight=[0.388,0.534)} => {Rings=27}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{Sex=F,Length=[0.53,0.602),Diameter=[0.429,0.494),Height=[0.174,0.2),WholeWeight=[1,1.34),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=27}",0.000239406272444338,0.5,0.000478812544888676,1044.25,1
"{WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Diameter=[0.494,0.65],Height=[0.174,0.2),ShuckedWeight=[0.28,0.419)} => {Rings=26}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Diameter=[0.429,0.494),Height=[0.2,1.13],WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Length=[0.602,0.67),Height=[0.2,1.13],VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Diameter=[0.429,0.494),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=F,Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=F,Length=[0.602,0.67),Height=[0.2,1.13],VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=F,Diameter=[0.429,0.494),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=F,Length=[0.602,0.67),WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=F,Diameter=[0.429,0.494),WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],WholeWeight=[1,1.34),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],ShuckedWeight=[0.28,0.419),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=M,Diameter=[0.494,0.65],ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234)} => {Rings=26}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=M,Length=[0.53,0.602),Diameter=[0.494,0.65],ShuckedWeight=[0.28,0.419)} => {Rings=26}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=M,Diameter=[0.494,0.65],WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=F,Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],WholeWeight=[1.34,1.78),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=F,Length=[0.602,0.67),Diameter=[0.429,0.494),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Length=[0.67,0.815],Height=[0.174,0.2),WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.315,0.413),ShellWeight=[0.388,0.534)} => {Rings=29}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Sex=F,Length=[0.67,0.815],Height=[0.174,0.2),WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),ShellWeight=[0.388,0.534)} => {Rings=29}",0.000239406272444338,0.25,0.000957625089777352,1044.25,1
"{Diameter=[0.429,0.494),WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Diameter=[0.429,0.494),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Sex=F,Height=[0.2,1.13],VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Length=[0.602,0.67),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Sex=F,Diameter=[0.429,0.494),Height=[0.2,1.13],ShuckedWeight=[0.419,0.574)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],VisceraWeight=[0.16,0.234)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Length=[0.602,0.67),WholeWeight=[1.34,1.78),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Sex=M,Length=[0.53,0.602),Diameter=[0.494,0.65],Height=[0.174,0.2)} => {Rings=26}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Length=[0.53,0.602),Diameter=[0.494,0.65],WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419)} => {Rings=26}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Sex=M,Diameter=[0.494,0.65],ShuckedWeight=[0.28,0.419),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],WholeWeight=[1.34,1.78),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Sex=F,Diameter=[0.429,0.494),Height=[0.2,1.13],WholeWeight=[1.34,1.78),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Sex=F,Length=[0.602,0.67),Diameter=[0.429,0.494),Height=[0.2,1.13],ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Length=[0.602,0.67),Diameter=[0.429,0.494),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Diameter=[0.494,0.65],WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),VisceraWeight=[0.16,0.234),ShellWeight=[0.289,0.388)} => {Rings=26}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{Sex=F,Height=[0.174,0.2),WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.315,0.413),ShellWeight=[0.388,0.534)} => {Rings=29}",0.000239406272444338,0.2,0.00119703136222169,835.4,1
"{WholeWeight=[1.78,2.83],ShuckedWeight=[0.419,0.574),VisceraWeight=[0.234,0.315)} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Length=[0.602,0.67),WholeWeight=[1.78,2.83],ShuckedWeight=[0.419,0.574)} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Height=[0.174,0.2),WholeWeight=[0.359,0.683),ShellWeight=[0.2,0.289)} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Length=[0.602,0.67),WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315),ShellWeight=[0.534,1]} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Sex=F,Length=[0.602,0.67),WholeWeight=[1.78,2.83],ShellWeight=[0.534,1]} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Length=[0.602,0.67),Height=[0.2,1.13],WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315)} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Sex=F,Length=[0.602,0.67),Height=[0.2,1.13],WholeWeight=[1.78,2.83]} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Length=[0.602,0.67),Diameter=[0.494,0.65],WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315)} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Sex=F,Length=[0.602,0.67),WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315)} => {Rings=22}",0.000239406272444338,1,0.000239406272444338,696.166666666667,1
"{Height=[0.2,1.13],WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Length=[0.67,0.815],WholeWeight=[1.78,2.83],VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.234,0.315)} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Length=[0.67,0.815],Height=[0.2,1.13],VisceraWeight=[0.234,0.315),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=F,Length=[0.67,0.815],VisceraWeight=[0.234,0.315),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=M,ShuckedWeight=[0.419,0.574),VisceraWeight=[0.315,0.413),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=M,Height=[0.174,0.2),ShuckedWeight=[0.419,0.574),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Length=[0.67,0.815],Height=[0.174,0.2),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.315,0.413),ShellWeight=[0.534,1]} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=M,Length=[0.67,0.815],Height=[0.174,0.2),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.315,0.413)} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=M,Length=[0.67,0.815],Height=[0.174,0.2),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574)} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=M,Height=[0.174,0.2),WholeWeight=[1.34,1.78),ShuckedWeight=[0.419,0.574),VisceraWeight=[0.315,0.413)} => {Rings=24}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Length=[0.602,0.67),Height=[0.2,1.13],WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808),ShellWeight=[0.534,1]} => {Rings=27}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Length=[0.602,0.67),Height=[0.2,1.13],ShuckedWeight=[0.574,0.808),VisceraWeight=[0.315,0.413),ShellWeight=[0.534,1]} => {Rings=27}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=M,Length=[0.602,0.67),Height=[0.2,1.13],WholeWeight=[1.78,2.83],ShuckedWeight=[0.574,0.808)} => {Rings=27}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=F,Length=[0.53,0.602),Height=[0.174,0.2),WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),ShellWeight=[0.388,0.534)} => {Rings=27}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=F,Diameter=[0.429,0.494),Height=[0.174,0.2),WholeWeight=[1,1.34),ShuckedWeight=[0.28,0.419),ShellWeight=[0.388,0.534)} => {Rings=27}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=F,Length=[0.53,0.602),Diameter=[0.429,0.494),Height=[0.174,0.2),WholeWeight=[1,1.34),ShellWeight=[0.388,0.534)} => {Rings=27}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Sex=F,Length=[0.53,0.602),Diameter=[0.429,0.494),Height=[0.174,0.2),VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=27}",0.000239406272444338,0.333333333333333,0.000718218817333014,696.166666666667,1
"{Height=[0.2,1.13],VisceraWeight=[0.16,0.234),ShellWeight=[0.388,0.534)} => {Rings=25}",0.000239406272444338,0.166666666666667,0.00143643763466603,696.166666666667,1
