"","Antecedent","Consequence","Support","Confidence","Fitness","LHS_len"
"17","Sex (M), Shell.weight (0.204334191989552,1.005), Shucked.weight (0.001,1.07156824773356), Length (0.70069692581238,0.787627902326035)","Viscera.weight (5e-04,0.718268565476892), Diameter (0.447656455536315,0.65)",0.0134067513,1,1.0134067513,7
"18","Length (0.075,0.778671376455083), Rings (23)","Viscera.weight (0.125770705138356,0.441381946922864), Diameter (0.303025453909661,0.65)",0.0019152502,1,1.0019152502,3
"19","Length (0.606874591982066,0.725459445223234), Viscera.weight (0.298937246084101,0.76), Diameter (0.598263296525023,0.65)","Shell.weight (0.346521730475113,0.65524467214481), Shucked.weight (0.590693491850762,1.488)",0.0007182188,1,1.0007182188,6
"20","Length (0.191067803356765,0.815), Rings (11), Shell.weight (0.25563789556745,0.505272933886855), Whole.weight (0.830322669715582,1.52281195685763), Viscera.weight (0.392147052258475,0.76)","Diameter (0.392835336925002,0.65)",0.0004788125,1,1.0004788125,9
"21","Rings (24), Length (0.127400551586108,0.809669399114148), Whole.weight (1.28319472723995,2.69784637609281)","Viscera.weight (0.0175356016548547,0.54764613781362), Shell.weight (0.485553093632194,1.005)",0.0004788125,1,1.0004788125,5
"22","Height (0.271894483329755,0.774481062053717)","Diameter (0.344285458227865,0.65), Sex (M)",0.0002394063,1,1.0002394063,2
"23","Sex (M), Height (0.436884605368401,0.654775013579522), Length (0.191067803356765,0.815)","Viscera.weight (0.276257184888094,0.629731884066772), Diameter (0.172377719696642,0.65)",0.0002394063,1,1.0002394063,5
"24","Shell.weight (0.444749195425026,1.005), Rings (25), Length (0.165568472637481,0.815)","Viscera.weight (5e-04,0.533928733117234), Whole.weight (1.3825377828593,2.8255)",0.0002394063,1,1.0002394063,5
"25","Shell.weight (0.514246901880046,0.904424941870503), Rings (24), Shucked.weight (0.100818783006398,0.720409690421677), Length (0.197041233600167,0.815), Sex (F)","Viscera.weight (0.0451866007530611,0.76), Whole.weight (0.275427075811784,2.8255)",0.0002394063,1,1.0002394063,8
"26","Shell.weight (0.452347799923725,0.732997272577163), Sex (M)","Shucked.weight (0.163456703976596,1.17054817256487)",0.0327986593,0.958041958,0.9908406173,3
"28","Length (0.377028353366325,0.815), Shucked.weight (0.715730289161924,0.932348616571984)","Diameter (0.502697708500019,0.65)",0.0423749102,0.9315789474,0.9739538576,4
"29","Shell.weight (0.620528005843941,1.005), Shucked.weight (0.311096564794805,0.965097926630082)","Viscera.weight (5e-04,0.563809805368623), Length (0.262042498917052,0.809305243452676)",0.0069427819,0.9666666667,0.9736094486,4
"30","Shell.weight (0.251198831187448,0.395885715131779), Shucked.weight (0.533324173223668,1.3981695983648), Rings (13)","Diameter (0.428000360592053,0.623798322005908)",0.0040699066,0.9444444444,0.948514351,5
"31","Shucked.weight (0.560759793223965,1.42304267815027), Diameter (0.353677811373022,0.484813291790514)","Viscera.weight (0.207221524749207,0.690596443644255), Length (0.191574892005785,0.66948371125053)",0.0213071582,0.9270833333,0.9483904915,4
"32","Length (0.519195736290345,0.815), Viscera.weight (5e-04,0.76), Diameter (0.584556253911649,0.65)","Shell.weight (0.324237397246965,0.67289803076935), Shucked.weight (0.148658797921906,1.488)",0.0076610007,0.8205128205,0.8281738212,6
"33","Length (0.075,0.788398987104508), Rings (17)","Diameter (0.285938891301385,0.65), Viscera.weight (0.179769528200624,0.543858356387252)",0.0112520948,0.8103448276,0.8215969224,3
"34","Sex (M), Shell.weight (0.433472540569381,0.970028185866091), Shucked.weight (0.001,1.23137723462922), Length (0.501527697352916,0.735929853248067)","Viscera.weight (5e-04,0.415071205252498)",0.0287287527,0.7741935484,0.8029223011,7
"35","Shell.weight (0.334364198980982,1.005), Length (0.075,0.815), Rings (23), Diameter (0.287124459163574,0.65)","Viscera.weight (5e-04,0.567802204465634)",0.0009576251,0.8,0.8009576251,7
"37","Length (0.347069662159516,0.815)","Height (0,0.62293520508366), Sex (M)",0.3500119703,0.3846356222,0.7346475925,2
"38","Height (0.0558988255787257,0.392086547955517)","Sex (M)",0.362939909,0.3712047013,0.7341446103,2
"39","Shell.weight (0.148460865049551,1.005), Shucked.weight (0.207131960664654,0.8932)","Viscera.weight (5e-04,0.518215400965104), Sex (M), Length (0.369517584948162,0.815)",0.2865693081,0.4386222059,0.725191514,4
"40","Length (0.120214663111518,0.804359594841803)","Sex (M), Viscera.weight (0.0329108743321208,0.53015603915374)",0.3552789083,0.3555342597,0.710813168,2
"41","Length (0.075,0.815), Shell.weight (0.263547616167204,1.005)","Viscera.weight (5e-04,0.521021160998065), Sex (M)",0.1999042375,0.4798850575,0.679789295,4
"42","Whole.weight (0.51509601126857,1.40154575727648)","Length (0.075,0.696219365164346), Height (0,0.428711478143611), Sex (M)",0.2449126167,0.4291107383,0.674023355,2
"43","Whole.weight (0.469532452952091,2.13732454539991)","Length (0.075,0.771995231701575), Height (0,0.250203842637688), Sex (F)",0.280344745,0.3911155645,0.6714603095,2
"44","Whole.weight (0.631152983325693,1.35616119694768)","Sex (M)",0.2137898013,0.4560776302,0.6698674315,2
"45","Height (0.244975558321348,0.470970933661938)","Whole.weight (0.002,2.6501851472529)",0.0004788125,0.6666666667,0.6671454792,2
"46","Length (0.075,0.682175990151382)","Sex (I), Height (0,0.98373261054549)",0.3210438113,0.341395112,0.6624389233,2
"47","Shucked.weight (0.0689592821149422,1.10861471653402)","Sex (F), Height (0,0.774692649458857)",0.3100311228,0.3361889927,0.6462201155,2
"48","Length (0.075,0.815)","Height (0,0.308903581125481), Viscera.weight (5e-04,0.335007220620988), Sex (M)",0.3208044051,0.3208044051,0.6416088102,2
"49","Whole.weight (0.978897368577783,2.13732454539991)","Length (0.211112999428799,0.742464800471121), Height (0,0.448351771515039), Shell.weight (0.154997000781052,1.005), Sex (F)",0.1683026095,0.4718120805,0.64011469,2
"50","Length (0.30021246925392,0.728139398715318)","Sex (F), Height (0,0.706145212492711)",0.3062006225,0.3285384023,0.6347390248,2
"51","Whole.weight (0.412651080788385,1.54161085553759)","Length (0.075,0.749651217755921), Height (0,0.575857625874012), Sex (F)",0.2532918362,0.368641115,0.6219329512,2
"52","Length (0.075,0.738919608705509)","Height (0,0.658432668134569), Sex (F)",0.3090734977,0.3118357488,0.6209092465,2
"53","Whole.weight (0.002,2.35991822432002)","Length (0.371061408557513,0.815), Sex (F), Height (0,0.75332329122237)",0.3054824036,0.3065833734,0.612065777,2
"54","Shell.weight (0.335730441540101,0.909090320126805)","Whole.weight (0.412651080788385,2.60159899836018), Sex (M), Height (0,0.761287251557929)",0.1134785731,0.492211838,0.6056904111,2
"55","Height (0,0.174892769415177)","Sex (M)",0.2652621499,0.3328326825,0.5980948324,2
"56","Height (0,0.485252786548676)","Whole.weight (0.529363669203613,2.13473673738707), Sex (M)",0.2966243716,0.2967664671,0.5933908387,2
"57","Viscera.weight (5e-04,0.368298490327965)","Length (0.075,0.808963671751178), Sex (F), Height (0,0.738755843539644)",0.2846540579,0.3026215322,0.5872755901,2
"58","Length (0.075,0.815)","Sex (M), Viscera.weight (5e-04,0.605957006968698), Diameter (0.0868390246734295,0.505474102549105)",0.2923150587,0.2923150587,0.5846301174,2
"59","Length (0.075,0.815)","Viscera.weight (0.0479097235639033,0.31302833037224), Sex (M)",0.2920756524,0.2920756524,0.5841513048,2
"60","Whole.weight (1.28285737333555,2.04691929717791)","Viscera.weight (0.0749776963389472,0.728501583106782), Diameter (0.455929254242402,0.65), Sex (F), Length (0.4776126668738,0.784666698460896), Shucked.weight (0.28566328540164,1.2520920782539)",0.0802011013,0.4992548435,0.5794559448,2
"61","Height (0,0.409671618963707)","Whole.weight (0.599812040845137,2.39574495408146), Sex (M)",0.2884845583,0.2886227545,0.5771073128,2
"62","Shell.weight (0.344452305557085,1.005)","Viscera.weight (5e-04,0.50022495314419), Sex (M), Height (0,0.382033801594151)",0.1024658846,0.4698133919,0.5722792765,2
"63","Length (0.374198460026427,0.613162996909302)","Whole.weight (0.002,2.6501851472529), Diameter (0.216731174466807,0.65), Sex (I)",0.2171414891,0.351278079,0.5684195681,2
"64","Shell.weight (0.374263638441636,0.837714123882201)","Sex (M)",0.0766100072,0.4841149773,0.5607249845,2
"65","Shell.weight (0.384383193870489,1.005)","Length (0.075,0.815), Sex (M), Height (0,0.477771934238747)",0.0699066316,0.474025974,0.5439326056,2
"66","Shell.weight (0.272528395816919,0.316050228705698)","Sex (M)",0.056260474,0.4835390947,0.5397995687,2
"67","Length (0.075,0.815)","Height (0,0.250203842637688), Viscera.weight (0.140472591252495,0.419178566909226), Sex (M), Diameter (0.273643404901799,0.569627063632677)",0.2633468997,0.2633468997,0.5266937994,2
"68","Length (0.183827864863806,0.642775454386469)","Height (0,0.340048525338649), Whole.weight (0.002,2.8255), Sex (F)",0.237251616,0.282014798,0.519266414,2
"69","Sex (M), Shell.weight (0.384383193870489,0.474430249610388), Shucked.weight (0.406095682075377,1.488)","Length (0.623927234160863,0.815), Viscera.weight (0.312194605878584,0.76)",0.0198707206,0.4911242604,0.510994981,5
"70","Shucked.weight (0.666950842466609,1.17049220108482)","Sex (F), Height (0.0174508234158557,1.12856873535772)",0.0399808475,0.4677871148,0.5077679623,2
"71","Whole.weight (2.6501851472529,2.8255), Length (0.308901741108143,0.815), Viscera.weight (5e-04,0.625337896996298)","Sex (M)",0.0002394063,0.5,0.5002394063,6
"72","Length (0.439462520151633,0.792020784053802), Viscera.weight (0.179769528200624,0.76), Diameter (0.470594296608829,0.65)","Shell.weight (0.402022276987469,0.742303847175783), Shucked.weight (0.328474526887487,1.3981695983648)",0.1122815418,0.3863261944,0.4986077362,6
"73","Shell.weight (0.322055008270078,1.005), Whole.weight (1.28285737333555,2.8255)","Viscera.weight (5e-04,0.433428859532541), Length (0.281772943241232,0.815), Height (0,0.742600285030028), Sex (M)",0.0711036629,0.4248927039,0.4959963668,4
"74","Whole.weight (0.639895532601639,1.11296727436695)","Length (0.256501189522035,0.750216071186821), Sex (F)",0.1199425425,0.3705621302,0.4905046727,2
"75","Length (0.075,0.815)","Viscera.weight (5e-04,0.25139836585363), Sex (M)",0.2415609289,0.2415609289,0.4831218578,2
"76","Whole.weight (0.145556158765822,1.65598595044792)","Length (0.075,0.712986943633297), Sex (F), Diameter (0.39890777670721,0.65)",0.2200143644,0.2496604184,0.4696747828,2
"77","Height (0,0.427940037190342)","Whole.weight (0.695184706520432,1.94926714353164), Sex (F)",0.2341393345,0.234251497,0.4683908315,2
"78","Whole.weight (0.271369897336214,2.32440910017073)","Height (0,0.649372373949825), Length (0.232169560700634,0.815), Sex (I)",0.2094804884,0.2455795678,0.4550600562,2
"79","Viscera.weight (0.432292605517331,0.56910192726612), Length (0.0938108077281967,0.764814211031495)","Whole.weight (1.18557386310359,2.57890516469868), Sex (F), Diameter (0.428851845583431,0.610773166961769)",0.0076610007,0.4383561644,0.4460171651,4
"80","Length (0.232169560700634,0.792476206891849)","Whole.weight (0.812109293031882,2.32440910017073), Height (0,0.34579596816578), Sex (F), Shell.weight (0.124360852865862,0.990694296983414)",0.2152262389,0.2192682927,0.4344945316,2
"81","Shell.weight (0.173740934704406,0.964283445233357)","Height (0,0.403846154114638), Sex (M), Viscera.weight (5e-04,0.240857311771165)",0.1532200144,0.2386278896,0.391847904,2
"82","Whole.weight (0.74532655274651,1.02231354106697)","Length (0.075,0.788398987104508), Shell.weight (0.218176984089557,1.005), Sex (F)",0.0629638497,0.3164861613,0.379450011,2
"83","Length (0.48467718326315,0.815), Shell.weight (0.167067052783546,0.907409416645915)","Diameter (0.505067264466861,0.65), Viscera.weight (0.0659948949135479,0.76)",0.1460378262,0.229928383,0.3759662092,4
"84","Sex (F), Shucked.weight (0.0983306705433735,1.488), Length (0.50093634406402,0.815), Viscera.weight (5e-04,0.76)","Shell.weight (0.396235389831096,0.950010001668953)",0.0655973186,0.2582469369,0.3238442555,7
"85","Shell.weight (0.126890437815152,0.859487359581735)","Height (0,1.13), Sex (I)",0.1390950443,0.1842689502,0.3233639945,2
"86","Length (0.075,0.815)","Whole.weight (0.469532452952091,1.0498330677369), Sex (M), Viscera.weight (5e-04,0.555757349587241), Height (0,0.762138977091524)",0.1584869524,0.1584869524,0.3169739048,2
"87","Shucked.weight (0.001,0.242838577147146)","Length (0.075,0.770604138691171), Viscera.weight (5e-04,0.302553616716486), Sex (M)",0.0723006943,0.2081323225,0.2804330168,2
"88","Length (0.075,0.788398987104508)","Whole.weight (1.12008508650723,2.8255), Sex (M)",0.1367009816,0.1367664671,0.2734674487,2
"89","Shucked.weight (1.14249413948393,1.488)","Shucked.weight (1.14249413948393,1.488), Sex (F)",0.0009576251,0.25,0.2509576251,2
"90","Length (0.347069662159516,0.739181601720418)","Whole.weight (0.122721846261556,2.8255), Sex (M), Shell.weight (0.328178537212315,0.975594758118636)",0.1175484798,0.1304463337,0.2479948135,2
"91","Shell.weight (0.304336464790164,0.964615367621571)","Whole.weight (0.374791223207974,1.10882874115648), Length (0.191574892005785,0.693298765644602), Height (0,0.894925077903416)",0.0550634427,0.1778808971,0.2329443398,2
"92","Viscera.weight (5e-04,0.76), Length (0.664178141359729,0.815)","Shucked.weight (0.001,0.77736830298803), Height (0.190086376347292,0.899020815381561)",0.0196313143,0.2124352332,0.2320665475,4
"93","Length (0.395411357996343,0.757022978639684)","Height (0,0.143575544252962), Sex (M), Whole.weight (0.002,2.8255), Shell.weight (0.0015,0.732997272577163)",0.1055781661,0.1259640103,0.2315421764,2
"94","Length (0.075,0.802123702850111)","Whole.weight (0.576746052483874,1.46824059761902), Height (0.157687003609933,0.232632787289754), Sex (M), Shell.weight (0.10495702829767,0.965596352929586), Viscera.weight (0.0638796608302429,0.704999708739556)",0.1082116351,0.1082375479,0.216449183,2
"96","Shell.weight (0.389343959554882,1.005)","Rings (11), Whole.weight (0.426454972967327,1.82786247737568)",0.0256164712,0.1825938567,0.2082103279,2
"98","Length (0.16930173642038,0.801485724135109)","Whole.weight (0.641198367577463,1.39544546010244), Height (0,0.174892769415177), Viscera.weight (5e-04,0.220916737751459), Sex (F)",0.0816375389,0.0820500481,0.163687587,2
"99","Shell.weight (0.230130119361421,0.302047213340809), Rings (15), Shucked.weight (0.0827598678340167,0.981737846098357), Diameter (0.269814464509615,0.65)","Viscera.weight (0.233477870335178,0.284179265374144)",0.0009576251,0.1538461538,0.1548037789,7
"100","Length (0.23824179729571,0.772655649264144)","Whole.weight (0.412651080788385,1.20639832435041), Shell.weight (0.0015,0.948543943051835), Height (0.0104704940495134,0.148982930479322), Sex (M), Viscera.weight (0.143732336846769,0.301490854725156)",0.0672731626,0.0687714146,0.1360445772,2
"101","Shell.weight (0.117502602860164,0.756776035801586), Whole.weight (0.49779156252673,2.23035251255916)","Viscera.weight (0.363350055309528,0.538004507128859), Length (0.0816612793652216,0.815), Height (0,0.471651702589904), Diameter (0.323934394852574,0.604856700735258)",0.0545846301,0.0783505155,0.1329351456,4
"102","Whole.weight (0.002,0.454872057524365)","Sex (F)",0.02633469,0.1009174312,0.1272521212,2
"103","Length (0.404630780403636,0.561506505870538)","Sex (F), Diameter (0.414758639302698,0.65)",0.0344745032,0.0873256519,0.1218001551,2
"104","Length (0.2422954259678,0.737901974127165)","Height (0,0.0839990202629093), Whole.weight (0.002,2.8255)",0.0598515681,0.0617588933,0.1216104614,2
"105","Shell.weight (0.148241529982059,0.646252079021522)","Height (0.197003087218535,0.239962542507329)",0.0466842231,0.0668953688,0.1135795919,2
"106","Length (0.38141010038734,0.815)","Whole.weight (1.09477117850132,2.72794940221321), Sex (M), Diameter (0.515924272215378,0.65), Shell.weight (0.319029161475889,1.005)",0.0524299737,0.0609518508,0.1133818245,2
"107","Whole.weight (0.340173667792765,1.7107757390136)","Height (0,0.605385154444657), Sex (F), Diameter (0.257496778157933,0.384558039509661)",0.0414172851,0.0539444964,0.0953617815,2
"108","Diameter (0.0820765082222395,0.492178398285365), Shucked.weight (0.524244587354869,0.567910930310209)","Viscera.weight (0.22143612599355,0.670025234380753), Shell.weight (0.368856383753729,0.513406425402424)",0.0023940627,0.0900900901,0.0924841528,4
"109","Shucked.weight (0.141360827011068,0.657777762816355)","Length (0.0938226119417472,0.812896817127409), Viscera.weight (5e-04,0.650304593735489), Rings (13)",0.0385444099,0.0529605263,0.0915049362,2
"110","Length (0.144944935203471,0.815)","Shell.weight (0.0015,1.005), Whole.weight (1.40555110710632,2.8255), Viscera.weight (0.20422699310658,0.342436632104642)",0.0452477855,0.045323741,0.0905715265,2
"111","Height (0,0.37893875198483)","Shell.weight (0.402022276987469,0.996575097444175), Length (0.075,0.796042835348535), Viscera.weight (0.0529179355645292,0.412364299768377), Sex (M)",0.0433325353,0.0433532934,0.0866858287,2
"112","Length (0.075,0.815)","Shell.weight (0.313371338842102,1.005), Whole.weight (0.798747015049402,2.18755693189117), Shucked.weight (0.662783480368081,1.38661822989276), Sex (M)",0.04045966,0.04045966,0.08091932,2
"113","Viscera.weight (0.308963915655854,0.565814662119479)","Shucked.weight (1.00707790266541,1.30808319381729)",0.0081398133,0.0651340996,0.0732739129,2
"114","Viscera.weight (5e-04,0.576163598297698)","Height (0,0.211289093565357), Whole.weight (1.70926211838827,2.8255)",0.0356715346,0.035697173,0.0713687076,2
"115","Length (0.075,0.672775287216077)","Sex (F), Diameter (0.055,0.556118414566161), Height (0,0.268972255318665), Rings (8)",0.028968159,0.031290406,0.060258565,2
"116","Length (0.075,0.815)","Whole.weight (1.39544546010244,1.61746557581913), Height (0,0.331682520091652), Sex (M)",0.0299257841,0.0299257841,0.0598515682,2
"117","Height (0.0205585956595097,1.13)","Length (0.39576137476305,0.473547298256591), Sex (F), Diameter (0.288058637401972,0.65)",0.028968159,0.0290167866,0.0579849456,2
"118","Shucked.weight (0.0115571024388727,0.695052920444074), Shell.weight (0.486461557439478,0.96500798738882)","Rings (18), Length (0.248390549436201,0.784631345411865), Viscera.weight (5e-04,0.757152741115892)",0.0009576251,0.0519480519,0.052905677,4
"119","Shell.weight (0.522766329485033,1.005)","Length (0.075,0.765334377621662), Whole.weight (0.137226066977443,2.68563279326879), Rings (13), Sex (M)",0.0014364376,0.05,0.0514364376,2
"120","Whole.weight (1.08908191788828,2.13732454539991), Length (0.075,0.751450524788167)","Sex (F), Diameter (0.558582385306791,0.65), Viscera.weight (5e-04,0.424315930163555)",0.010533876,0.0370994941,0.0476333701,4
"121","Length (0.609821116781699,0.803219290110285), Shell.weight (0.245633275171602,0.42419696617461), Diameter (0.391222363726108,0.634278993203545)","Shucked.weight (0.727909513801304,1.488), Viscera.weight (0.354462540096419,0.713117727308415)",0.0059851568,0.0334672021,0.0394523589,6
"122","Length (0.075,0.815)","Shell.weight (0.0015,1.005), Whole.weight (1.75075107145816,2.55458841507332), Sex (M), Height (0,0.685868183255797), Viscera.weight (5e-04,0.50022495314419)",0.018434283,0.018434283,0.036868566,2
"123","Viscera.weight (5e-04,0.704999708739556), Shucked.weight (0.933932988706609,1.488)","Length (0.572472852084216,0.614831384619355)",0.0004788125,0.0338983051,0.0343771176,4
"124","Length (0.075,0.815)","Whole.weight (0.73549801181899,2.05064580303659), Sex (F), Viscera.weight (5e-04,0.171384246884389)",0.0167584391,0.0167584391,0.0335168782,2
"125","Whole.weight (0.380886756936529,1.17902138693583)","Length (0.232169560700634,0.63040323223985), Shell.weight (0.374664962596697,0.795769724757299)",0.0102944697,0.0185825411,0.0288770108,2
"126","Length (0.0938226119417472,0.815)","Shucked.weight (0.0204923671473163,1.20878408332963), Whole.weight (0.274052326259586,2.8255), Sex (M), Shell.weight (0.506250378061159,1.005), Height (0.140236180194077,0.532460419993589), Viscera.weight (0.0638796608302429,0.489175862981688)",0.0141249701,0.0141283525,0.0282533226,2
"127","Whole.weight (0.002,1.70926211838827)","Diameter (0.055,0.65), Sex (F), Rings (14)",0.0122097199,0.0128334172,0.0250431371,2
"128","Whole.weight (0.002,2.00847477691882)","Sex (I), Height (0,0.441808495944163), Rings (4)",0.0122097199,0.0124269006,0.0246366205,2
"129","Whole.weight (0.837189688767469,1.81031164025982)","Length (0.0998948485368231,0.646929481453863), Rings (18), Diameter (0.265201834060713,0.65)",0.0057457505,0.0130647795,0.01881053,2
"130","Shell.weight (0.416598022374389,0.816185395777799), Sex (M)","Rings (21), Height (0.00691671087124287,0.669096424643075), Whole.weight (0.350698717220247,1.68297583129398)",0.0007182188,0.0150753769,0.0157935957,3
"131","Length (0.0851203943251264,0.577467113607833)","Rings (17), Diameter (0.156129685621703,0.65)",0.0057457505,0.0093023256,0.0150480761,2
"132","Length (0.277124726956045,0.737901974127165)","Shucked.weight (0.604946486367837,1.12269148742131), Height (0,0.562516359014391), Whole.weight (1.76182523738638,2.52241440319197), Sex (M), Viscera.weight (0.225283794060161,0.414717649996027)",0.0071821882,0.0075376884,0.0147198766,2
"133","Height (0,0.676070960208452)","Sex (M), Rings (6)",0.0064639694,0.0064655172,0.0129294866,2
"134","Shucked.weight (0.492338878985487,1.35685713960951), Whole.weight (1.46948488879967,2.6501851472529)","Shell.weight (0.118099920916622,0.308519444479518), Diameter (0.359863657629208,0.623798322005908)",0.0009576251,0.009478673,0.0104362981,4
"135","Length (0.075,0.778886354185266)","Height (0,0.207904069371029), Shucked.weight (0.55896509964968,1.38661822989276), Whole.weight (1.90620694784337,2.8255), Sex (F)",0.0047881254,0.0047927151,0.0095808405,2
"136","Whole.weight (0.398221485159002,1.86727211603634)","Rings (11), Diameter (0.334476167152925,0.352450704778541)",0.0040699066,0.0054191903,0.0094890969,2
"137","Length (0.354309600652474,0.815), Whole.weight (1.39033271015646,1.94128994408253), Sex (F)","Diameter (0.477670097653098,0.489828987769277), Shell.weight (0.217494615810116,0.796974635286164), Viscera.weight (0.0135678811951074,0.563154077942885)",0.0004788125,0.0089686099,0.0094474224,5
"138","Whole.weight (0.217207020346279,0.808690136848923)","Length (0.075,0.776320841871056), Height (0.157687003609933,0.511444568155257), Sex (F), Viscera.weight (0.156868747136894,0.5078923651838), Shell.weight (0.189145398266095,0.917342517299575)",0.002633469,0.0065828845,0.0092163535,2
"139","Shell.weight (0.165343093967387,0.858745442108362)","Length (0.676654140031873,0.682437533586055), Sex (M), Diameter (0.502697708500019,0.65)",0.0031122815,0.0047118521,0.0078241336,2
"140","Length (0.140296718918284,0.785323350292229)","Whole.weight (1.67213939569567,1.6961)",0.0038305004,0.0038387716,0.007669272,2
"141","Length (0.281494846344974,0.667277899357232)","Shell.weight (0.366040076069343,0.686968633788165), Rings (18)",0.0033516878,0.0038398245,0.0071915123,2
"143","Length (0.318727986506052,0.674710507089222)","Whole.weight (1.74234808438884,2.8255), Viscera.weight (0.0509408488467561,0.568042824149064), Shell.weight (0.279968374636216,0.517636002594439)",0.0023940627,0.0027770064,0.0051710691,2
"144","Viscera.weight (0.173048424707503,0.637409623054425), Length (0.530030992789114,0.75412180409359)","Diameter (0.244555332445293,0.438368218897513), Shucked.weight (0.102614161533477,0.8932), Shell.weight (0.385536428079442,0.784882427116891)",0.0014364376,0.0031479538,0.0045843914,4
"146","Height (0,0.335749210275489)","Whole.weight (0.469532452952091,1.82186247753732), Sex (M), Rings (6)",0.0019152502,0.0019161677,0.0038314179,2
"147","Sex (M), Shucked.weight (0.123367770963691,1.42966405273697)","Whole.weight (1.80382174867464,1.89078167606884), Shell.weight (0.560415499090306,0.941187612289767), Length (0.405560110136835,0.81200344308583), Viscera.weight (5e-04,0.76)",0.0009576251,0.0028490028,0.0038066279,3
"148","Length (0.334157950256219,0.73799478528344)","Shucked.weight (0.927241170675206,1.20318598419169), Whole.weight (1.99557774086568,2.22597596027809), Sex (F), Height (0,0.359310503647333)",0.0014364376,0.001572327,0.0030087646,2
"149","Whole.weight (0.002,1.19469694953509)","Height (0.212252404037894,0.774481062053717), Sex (F)",0.0009576251,0.0012380068,0.0021956319,2
"150","Length (0.230494770153731,0.815)","Viscera.weight (0.151904825080727,0.704999708739556), Whole.weight (2.04758632589645,2.19627320853539), Height (0,0.196877729108336), Sex (F)",0.0009576251,0.0009751341,0.0019327592,2
"151","Whole.weight (0.002,2.07423830299622)","Length (0.180281324840737,0.50171092314978), Height (0,1.00318972927506), Rings (17), Diameter (0.055,0.65)",0.0009576251,0.0009713453,0.0019289704,2
"152","Length (0.481062739830709,0.536062270498125)","Whole.weight (1.17019667286878,2.8255), Height (0.197752731437461,0.453255402839073)",0.0002394063,0.0015243902,0.0017637965,2
"153","Whole.weight (0.0835210621876882,0.350698717220247)","Length (0.075,0.676782649906629), Shell.weight (0.3385138608923,0.88404632038887)",0.0002394063,0.0014705882,0.0017099945,2
"154","Length (0.0877335159602974,0.815)","Whole.weight (0.277671045491257,1.76950057059608), Sex (F), Shell.weight (0.125367920047726,1.005), Diameter (0.585509821468509,0.65), Viscera.weight (0.26597777629103,0.513162087974724)",0.0007182188,0.0007183908,0.0014366096,2
"155","Sex (M), Length (0.534443764492381,0.815), Shell.weight (0.201032135124561,0.802148120521458), Shucked.weight (0.225391458107807,1.488)","Height (0.380433821002449,0.626603052066973), Viscera.weight (0.025504819483264,0.76), Whole.weight (1.80382174867464,2.27813452646354)",0.0002394063,0.001001001,0.0012404073,7
