"Antecedent","Consequence","Support","Confidence","Fitness"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.679202219831181)","0.9997605937","0.9997605937","1.9995211874"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.719601109915591)","0.9997605937","0.9997605937","1.9995211874"
"WholeWeight (0.002,2.8255)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.719601109915591)","0.9997605937","0.9997605937","1.9995211874"
"WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.679202219831181)","0.9997605937","0.9997605937","1.9995211874"
"WholeWeight (0.002,2.8255)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.739800554957795)","0.9997605937","0.9997605937","1.9995211874"
"Height (0.00654428721150907,0.883017877088036)","VisceraWeight (5e-04,0.76)","0.9992817812","1","1.9992817812"
"Height (0.000861653287029185,0.817429082888304)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","0.9992817812","1","1.9992817812"
"Height (0.00654428721150907,0.972164799865629)","VisceraWeight (5e-04,0.76)","0.9992817812","1","1.9992817812"
"Rings (2.22678038775302,27.8298848034583)","Rings (2.22678038775302,27.8298848034583), ShellWeight (0.0015,1.005)","0.9992817812","1","1.9992817812"
"Height (0.00284131696223994,0.766658123743759), WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","0.9992817812","1","1.9992817812"
"Height (0.0033415776458969,0.647615876526077), WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","0.9992817812","1","1.9992817812"
"Height (0.00284131696223994,0.570935675340854)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","0.9992817812","1","1.9992817812"
"Height (0.0130885744230181,0.83236437150591)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.0130885744230181,0.839734258038168)","VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.0130885744230181,0.797215802801559)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.0113652678489598,0.853091058161094)","VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.0130885744230181,0.685717149036293), WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.012226921135989,1.05139277617114)","VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.0130885744230181,0.663995465229641), WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.0130885744230181,0.67599665356765)","VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.0113652678489598,0.703454753465154)","VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.00654428721150907,0.359973542056629), WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.00142065848111997,0.338598343034187)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.76)","0.9990423749","1","1.9990423749"
"Height (0.0113652678489598,1.12831081332492), WholeWeight (0.002,2.79283117190505)","VisceraWeight (5e-04,0.76)","0.9988029686","1","1.9988029686"
"Height (0.0179095550604688,0.885764905046711)","VisceraWeight (5e-04,0.76)","0.9985635624","1","1.9985635624"
"Height (0.0130885744230181,0.791133626155442)","WholeWeight (0.002,2.8255), VisceraWeight (5e-04,0.719601109915591)","0.9988029686","0.9997603642","1.9985633328"
"Height (0.0261771488460363,0.63854805179536), WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","0.9968877185","1","1.9968877185"
"Height (0.0257566326122469,0.535753483696658), WholeWeight (0.002,2.8255)","VisceraWeight (5e-04,0.76)","0.9968877185","1","1.9968877185"
"ShellWeight (0.0015,0.721011314054046)","Diameter (0.055,0.65)","0.9968877185","1","1.9968877185"
"Height (0.0257566326122469,0.550187920819515), WholeWeight (0.002,2.79283117190505)","VisceraWeight (5e-04,0.76)","0.9966483122","1","1.9966483122"
"WholeWeight (0.0208917921982629,2.8255)","VisceraWeight (5e-04,0.76)","0.9966483122","1","1.9966483122"
"ShellWeight (0.0015,0.787683719982399)","Height (0.0103647464816459,1.09117555259646)","0.997366531","0.9990407674","1.9964072984"
"Diameter (0.055,0.65)","ShellWeight (0.00639118697544404,1.005)","0.9956906871","0.9956906871","1.9913813742"
"WholeWeight (0.0476196653618426,2.8255)","VisceraWeight (5e-04,0.738743372972044)","0.9851568111","0.9997570457","1.9849138568"
"Rings (4.73984869446576,25.4889974692705)","ShellWeight (0.0015,1.005)","0.9813263107","1","1.9813263107"
"Diameter (0.167550553150624,0.65)","ShellWeight (0.0015,0.763558795655491)","0.9810869045","0.9980516318","1.9791385363"
"ShellWeight (0.0142904236171736,0.827732467078924)","Diameter (0.167550553150624,0.65)","0.981565717","0.9963547995","1.9779205165"
"Rings (1.33460332491268,29)","Diameter (0.149193808818468,0.65), ShellWeight (0.0015,0.834756734870446)","0.9873114676","0.9875478927","1.9748593603"
"ShellWeight (0.0222975727728048,0.987297950903335)","VisceraWeight (5e-04,0.53910925996415)","0.9743835288","0.9977935769","1.9721771057"
"Rings (4.73984869446576,25.4889974692705)","WholeWeight (0.0544402632247147,2.8255), ShellWeight (0.0015,1.005)","0.976298779","0.9948767992","1.9711755782"
"Diameter (0.074328193729275,0.562819524748011)","ShellWeight (0.0015,0.719074327070123)","0.9688771846","0.9982733103","1.9671504949"
"WholeWeight (0.002,2.8255)","ShellWeight (0.0169950220452333,1.005), VisceraWeight (5e-04,0.701582245458642)","0.9830021547","0.9830021547","1.9660043094"
"ShellWeight (0.0015,0.983620277547154)","Diameter (0.055,0.65), Length (0.232480080329751,0.815)","0.9818051233","0.9820402299","1.9638453532"
"ShellWeight (0.0015,1.005)","ShellWeight (0.0015,1.005), Rings (4.03666379663946,25.4889974692705)","0.9813263107","0.9813263107","1.9626526214"
"WholeWeight (0.0544402632247147,2.8255)","Rings (4.1760045811352,22.3285512736802), ShellWeight (0.0171401576764097,0.918230156753131)","0.9727076849","0.9888050621","1.961512747"
"WholeWeight (0.002,2.8255)","VisceraWeight (0.0141939254339668,0.76)","0.9786928418","0.9786928418","1.9573856836"
"WholeWeight (0.002,2.8255)","VisceraWeight (0.0141939254339668,0.76)","0.9786928418","0.9786928418","1.9573856836"
"WholeWeight (0.002,2.8255)","VisceraWeight (0.0141939254339668,0.76)","0.9786928418","0.9786928418","1.9573856836"
"Height (0.00327214360575454,0.637450048191174)","VisceraWeight (0.0141939254339668,0.76)","0.9779746229","0.9786775276","1.9566521505"
"Height (0.00740594049853826,0.812151091419164)","WholeWeight (0.002,2.8255), VisceraWeight (0.0141939254339668,0.76)","0.9779746229","0.9786775276","1.9566521505"
"Diameter (0.055,0.65)","ShellWeight (0.0015,0.973196277077177), Height (0.0573647624377918,1.13)","0.9779746229","0.9779746229","1.9559492458"
"Length (0.282126003294798,0.815)","ShellWeight (0.0015,0.873116722230945)","0.9564280584","0.9989997499","1.9554278083"
"VisceraWeight (0.0278878508679336,0.76)","WholeWeight (0.002,2.80146779972824)","0.9485276514","0.9997476659","1.9482753173"
"Diameter (0.207554916205778,0.65)","ShellWeight (0.0302452359739036,0.706625638257726)","0.9530763706","0.9930157146","1.9460920852"
"ShellWeight (0.0015,0.763558795655491)","Height (0.0618780117061397,1.10209659195864)","0.9698348097","0.9716958503","1.94153066"
"ShellWeight (0.0444103311288636,0.857972506557938)","Height (0.0190474280281342,0.928574611241893)","0.9379937754","0.9989801122","1.9369738876"
"Height (0.0113652678489598,0.687645377967867)","VisceraWeight (5e-04,0.76), Diameter (0.195783423664463,0.65)","0.9674407469","0.9683680805","1.9358088274"
"Diameter (0.233005772666438,0.65)","WholeWeight (0.0059180404826584,2.38466275681582), VisceraWeight (0.0141939254339668,0.731696390693866)","0.9348814939","0.9966819806","1.9315634745"
"Diameter (0.055,0.65)","ShellWeight (0.031553578697311,0.973196277077177)","0.9607373713","0.9607373713","1.9214747426"
"VisceraWeight (0.0278878508679336,0.622595001218913)","WholeWeight (0.0098360809653168,1.94382551363164)","0.9274598994","0.9780358495","1.9054957489"
"Diameter (0.0658858718522924,0.65)","Rings (4.11673791435078,17.6295193130754)","0.9497246828","0.9499521073","1.8996767901"
"ShellWeight (0.0561552234512546,1.005)","Rings (1.87853389867814,20.2086616225279)","0.9078285851","0.9905956113","1.8984241964"
"WholeWeight (0.002,2.8255)","VisceraWeight (0.0278878508679336,0.76)","0.9487670577","0.9487670577","1.8975341154"
"ShellWeight (0.0690363221836465,1.005)","ShellWeight (0.0690363221836465,1.005), WholeWeight (0.0544402632247147,2.8255)","0.8917883649","1","1.8917883649"
"Length (0.362796959560656,0.815)","ShellWeight (0.0015,1.005)","0.8896337084","1","1.8896337084"
"WholeWeight (0.0476196653618426,2.8255)","ShellWeight (0.0453034498437178,0.965448329141487), Diameter (0.166925000369184,0.65)","0.9341632751","0.9480077745","1.8821710496"
"ShellWeight (0.0015,0.827732467078924)","Diameter (0.238910731190499,0.65)","0.9327268374","0.9338446788","1.8665715162"
"Rings (5.80257924819887,14.6997652041327), ShellWeight (0.0153555207997252,0.767907884553143)","Height (0.00382045927013678,0.797215802801559)","0.8659324874","0.9991712707","1.8651037581"
"WholeWeight (0.25877461335485,2.8255)","WholeWeight (0.25877461335485,2.8255), ShellWeight (0.0015,0.931908492566377)","0.8632990184","0.9997227613","1.8630217797"
"WholeWeight (0.25877461335485,2.8255)","ShellWeight (0.0133946836122345,0.980815623349258)","0.8632990184","0.9997227613","1.8630217797"
"WholeWeight (0.25877461335485,2.8255)","WholeWeight (0.25877461335485,2.8255), ShellWeight (0.0015,0.893713071348219)","0.8630596122","0.9994455226","1.8625051348"
"Rings (3.54061100564832,29), Diameter (0.28774413666406,0.65)","ShellWeight (0.060626298482488,0.827732467078924)","0.8635384247","0.9983393302","1.8618777549"
"WholeWeight (0.25877461335485,2.8255)","Rings (1.61204223120876,28.6656238164651), ShellWeight (0.0133946836122345,0.855696567360775)","0.8623413933","0.9986138065","1.8609551998"
"WholeWeight (0.25877461335485,2.8255)","ShellWeight (0.0015,0.756297680102217)","0.8613837683","0.9975048517","1.85888862"
"WholeWeight (0.270790713490729,2.8255)","WholeWeight (0.270790713490729,2.8255), ShellWeight (0.0015,0.974533422014136)","0.8575532679","0.9997209043","1.8572741722"
"ShellWeight (0.09167330951597,1.005)","Diameter (0.28711858388262,0.65)","0.832176203","0.9968454259","1.8290216289"
"WholeWeight (0.0544402632247147,2.8255)","WholeWeight (0.0544402632247147,2.8255), ShellWeight (0.060626298482488,1.005)","0.9061527412","0.921148698","1.8273014392"
"Diameter (0.311194355426232,0.65)","Length (0.333006408949004,0.815)","0.8221211396","0.9997088792","1.8218300188"
"WholeWeight (0.311389027529609,2.8255)","ShellWeight (0.0886920091024919,0.917482338050963), VisceraWeight (5e-04,0.76)","0.8273880776","0.9931034483","1.8204915259"
"Length (0.413488853740964,0.815)","ShellWeight (0.0015,0.873116722230945)","0.8194876706","0.9988327984","1.818320469"
"ShellWeight (0.0015,0.990267031484743), Diameter (0.316862627866922,0.648860411901478)","Length (0.264178769053869,0.815)","0.8146995451","0.999706228","1.8144057731"
"ShellWeight (0.10325196537493,1.005)","Diameter (0.27816783368522,0.65)","0.810150826","0.9979357122","1.8080865382"
"ShellWeight (0.110854580182555,0.845571315524258)","Diameter (0.238910731190499,0.65)","0.7912377304","0.9996975197","1.7909352501"
"Rings (7.25797785713803,21.9779949385411)","WholeWeight (0.106880526449429,2.8255), ShellWeight (0.0221082712771549,1.005)","0.7924347618","0.9981905911","1.7906253529"
"Rings (7.10637146734734,29)","Diameter (0.234162172041324,0.65), ShellWeight (0.056886462647333,0.999503168346984)","0.7914771367","0.9904134212","1.7818905579"
"VisceraWeight (0.0797120168464298,0.432394193496562)","ShellWeight (0.0620878603589008,0.967522115474079)","0.7716064161","0.9996898263","1.7712962424"
"ShellWeight (0.0962890476448558,1.00235921981011), Diameter (0.226444323590687,0.648860411901478)","Rings (6.51269068723013,20.8803316195235), Length (0.312128659249775,0.815)","0.8003351688","0.9706736353","1.7710088041"
"Rings (7.79468454212474,17.2268101126328)","Rings (7.79468454212474,17.2268101126328), ShellWeight (0.0015,1.005)","0.7665788844","1","1.7665788844"
"Rings (7.84392217037566,17.9184031710029)","WholeWeight (0.0544402632247147,2.8255), ShellWeight (0.0015,1.005)","0.7665788844","1","1.7665788844"
"Rings (2.25370618209854,26.6591126658122), Diameter (0.055,0.65)","ShellWeight (0.0746403744672202,0.808993524815963)","0.8767057697","0.8777564717","1.7544622414"
"Diameter (0.0562238520912069,0.65)","ShellWeight (0.0756906464816829,0.684432820064201)","0.8664113","0.8666187739","1.7330300739"
"ShellWeight (0.137986430157771,0.763558795655491)","Height (0.0618780117061397,1.13)","0.7270768494","0.9993418888","1.7264187382"
"Rings (3.44836111407676,29), ShuckedWeight (0.176002802013449,0.888421826243088)","Diameter (0.317662814782225,0.65), ShellWeight (0.100296220863561,1.005)","0.733780225","0.9880722115","1.7218524365"
"Diameter (0.3525,0.569296358831193)","ShellWeight (0.00335100448523758,0.864538137068376)","0.7098395978","0.9989892183","1.7088288161"
"Height (0.00249475377117051,1.13)","ShellWeight (0.0901796948665037,0.805268819453698)","0.8343308595","0.8347305389","1.6690613984"
"WholeWeight (0.5155492267097,2.77988033463816), Rings (1.87546210125583,29), VisceraWeight (0.0573504853837294,0.76)","ShellWeight (0.0015,0.602355450716417), Length (0.075,0.815)","0.6823078765","0.9837763203","1.6660841968"
"WholeWeight (0.5155492267097,2.8255), Rings (3.62612536063534,29)","ShellWeight (0.140023801711399,0.774552458961523), VisceraWeight (0.0943699904837413,0.668937024571886)","0.6794350012","0.9792960663","1.6587310675"
"Diameter (0.147151208841806,0.65)","ShellWeight (0.0962890476448558,0.749510260072446)","0.8228393584","0.8324049407","1.6552442991"
"Rings (1,12.3767477882211)","ShellWeight (0.0561552234512546,0.644971118324025)","0.7491022265","0.8981056257","1.6472078522"
"Length (0.289990340352379,0.621588789963062)","ShellWeight (0.0579051484241468,1.005)","0.6935599713","0.9448793216","1.6384392929"
"Diameter (0.055,0.65)","ShellWeight (0.100869736315331,0.693802291195681)","0.811108451","0.811108451","1.622216902"
"WholeWeight (0.472732813130846,1.51995473301052)","Diameter (0.342459098467662,0.65)","0.6296384965","0.990957046","1.6205955425"
"Rings (3.54061100564832,23.4592015855014)","ShellWeight (0.10089110691693,0.65490065564669), Height (0.0670603849469626,1.08657894135023)","0.8060809193","0.8107392247","1.616820144"
"Diameter (0.136222106723535,0.65)","ShellWeight (0.10598709644489,0.883289744359261), ShuckedWeight (0.00502895167952374,1.25139403208552)","0.8020110127","0.8097655306","1.6117765433"
"Rings (3.90907889145592,29), Diameter (0.399073362527595,0.65)","ShellWeight (0.055329931310599,0.807956631649667)","0.5956428058","0.9975942261","1.5932370319"
"Rings (4.73984869446576,29), ShellWeight (0.189355986367946,0.654552867954674)","Height (0.0971455737494034,1.13)","0.5925305243","0.9975816203","1.5901121446"
"ShellWeight (0.040632694794469,0.98693857951554)","VisceraWeight (0.0797120168464298,0.432394193496562)","0.7716064161","0.8171906694","1.5887970855"
"Length (0.504202282448769,0.706482403085938)","ShellWeight (0.0015,0.986261057737039)","0.5872635863","1","1.5872635863"
"Diameter (0.055,0.65)","ShellWeight (0.114310296848294,1.005)","0.7878860426","0.7878860426","1.5757720852"
"ShellWeight (0.189584506731426,0.717619301563758)","Rings (2.08535942644176,20.0683037172139)","0.5887000239","0.9867576244","1.5754576483"
"VisceraWeight (5e-04,0.369621686486022)","ShellWeight (0.0829212256783427,1.005), Diameter (0.319409211586508,0.634560414971238)","0.7572420397","0.8036077236","1.5608497633"
"WholeWeight (0.707875,2.8255)","ShellWeight (0.0590679767306213,0.913673242507488)","0.5606894901","0.9995731968","1.5602626869"
"WholeWeight (0.707875,2.8255)","VisceraWeight (5e-04,0.719601109915591)","0.5606894901","0.9995731968","1.5602626869"
"Rings (8.41943414766502,29)","ShellWeight (0.0579051484241468,1.005), Diameter (0.336836567620421,0.65)","0.6214986833","0.9371841155","1.5586827988"
"ShellWeight (0.0015,1.005)","Diameter (0.055,0.489256223443554)","0.7754369164","0.7754369164","1.5508738328"
"Rings (2.62150814846245,29), Diameter (0.411856623600693,0.648860411901478)","ShellWeight (0.0015,0.853495677133407)","0.5372276754","0.9982206406","1.535448316"
"Rings (3.20600768073564,12.3704806869246)","Rings (3.20600768073564,12.3704806869246), ShellWeight (0.0807940255996225,0.83500220356161)","0.6940387838","0.8361695991","1.5302083829"
"Rings (7.07642655310383,25.4889974692705)","WholeWeight (0.495277506408896,2.82158195951734), ShellWeight (0.0015,1.005)","0.6763227197","0.8473305339","1.5236532536"
"Length (0.505657859182684,0.668850521031054)","ShellWeight (0.10771251411006,0.854692693844845)","0.5204692363","0.9995402299","1.5200094662"
"Rings (9.79214795017333,29)","VisceraWeight (5e-04,0.76)","0.498204453","1","1.498204453"
"Rings (7.83870600240152,26.6597696069166)","Diameter (0.369927356033913,0.65)","0.6631553747","0.8305847076","1.4937400823"
"Rings (3.39449650208553,29)","ShellWeight (0.136267045612721,0.867885658904743)","0.7299497247","0.7329326923","1.462882417"
"Diameter (0.055,0.58666962866484), Rings (8.81613165111094,18.5394442853358)","ShellWeight (0.121024890273676,0.989651508628881), Length (0.233478865152883,0.708770032228404)","0.567632272","0.8950547376","1.4626870096"
"Length (0.364849272811698,0.765479075012845)","WholeWeight (0.521009929903587,2.8255), ShellWeight (0.0815351411514873,0.960860327178169)","0.6870960019","0.7742109523","1.4613069542"
"ShellWeight (0.0015,0.660109463721928)","Rings (7.83870600240152,29), Height (0.109641880797062,0.711680929325848)","0.7280344745","0.7322417529","1.4602762274"
"ShellWeight (0.0015,1.005)","Diameter (0.3525,0.596136412043188)","0.7282738808","0.7282738808","1.4565477616"
"WholeWeight (0.759312007979534,1.57239499623523)","WholeWeight (0.759312007979534,1.57239499623523), VisceraWeight (5e-04,0.76)","0.4558295427","1","1.4558295427"
"Rings (5.41201536147128,28.2325940039009)","Rings (5.41201536147128,28.2325940039009), ShellWeight (0.145061261850589,0.69947048264933)","0.70648791","0.7401555054","1.4466434154"
"ShellWeight (0.252585833946305,0.787709050038247)","Diameter (0.28711858388262,0.65)","0.4407469476","0.9994571118","1.4402040594"
"WholeWeight (0.378736733287806,2.8255), Rings (9.26882340456359,29)","ShellWeight (0.109729871531948,0.730771317809485), Height (0.111446486178902,0.831060934098204)","0.4649269811","0.9748995984","1.4398265795"
"ShellWeight (0.252585833946305,0.772599627634043)","Diameter (0.349987042007524,0.65)","0.440268135","0.9989136339","1.4391817689"
"ShellWeight (0.0015,1.005)","Diameter (0.055,0.473816638414792)","0.7050514723","0.7050514723","1.4101029446"
"Rings (9.19997863158642,15.2307527836965), ShellWeight (0.0342654039197323,0.789988413059516)","WholeWeight (0.242740974357323,2.38247118867106)","0.4256643524","0.9774601429","1.4031244953"
"VisceraWeight (0.0566972755626484,0.614207372245262)","Diameter (0.383530560016225,0.617302668165066)","0.6384965286","0.7414512093","1.3799477379"
"Length (0.354263021915176,0.530546773167007), ShellWeight (0.0015,0.915876167136637)","Diameter (0.189271217264077,0.64635517783754)","0.3751496289","1","1.3751496289"
"WholeWeight (0.0476196653618426,2.6423844243955), VisceraWeight (0.20404560219754,0.717776413981293)","ShellWeight (0.198932748061957,0.916366233539462)","0.3847258798","0.9883148831","1.3730407629"
"Rings (5.41201536147128,29)","Rings (5.41201536147128,29), ShellWeight (0.160088051199245,0.749510260072446)","0.6700981566","0.7018555667","1.3719537233"
"WholeWeight (0.848454189618667,2.8255)","Diameter (0.055,0.638848676050475), ShellWeight (0.0015,0.519553012547571)","0.4333253531","0.9344346928","1.3677600459"
"Length (0.202653155356675,0.815)","Diameter (0.055,0.473816638414792), ShellWeight (0.0015,0.882315855648819), Rings (1,17.0515179878857)","0.6789561887","0.6870155039","1.3659716926"
"WholeWeight (0.947866683325483,1.87499199995393), VisceraWeight (5e-04,0.470067491309608)","Height (0.111593579885666,1.13)","0.3615034714","0.9973579921","1.3588614635"
"Sex (M)","Rings (4.90500532719307,29)","0.3636581278","0.9941099476","1.3577680754"
"WholeWeight (0.965603485529486,1.97803343621354)","VisceraWeight (0.1266470120883,0.76)","0.3588700024","0.998667555","1.3575375574"
"VisceraWeight (0.0430981497600133,0.622595001218913)","Rings (2.31650833849562,29), Diameter (0.380870166555032,0.619453549886966)","0.6384965286","0.7098749002","1.3483714288"
"Length (0.377859371592058,0.668955025594332)","ShellWeight (0.161209270398955,0.853655800678549)","0.5855877424","0.7489283527","1.3345160951"
"Height (0.159851208217733,0.952366582321647)","VisceraWeight (5e-04,0.631005770406278)","0.3358870002","0.9985765125","1.3344635127"
"Sex (I)","Sex (I), ShellWeight (0.0015,0.67765010135985)","0.3212832176","1","1.3212832176"
"Sex (I)","ShellWeight (0.0015,0.89680543464086)","0.3212832176","1","1.3212832176"
"Sex (I)","ShellWeight (0.0015,0.810694081368334)","0.3212832176","1","1.3212832176"
"Sex (I)","VisceraWeight (5e-04,0.76)","0.3212832176","1","1.3212832176"
"Height (0.0103647464816459,1.09117555259646)","ShellWeight (0.167334436377099,0.863355819643125)","0.6574096241","0.6580397795","1.3154494036"
"Sex (F)","Sex (F), ShellWeight (0.0015,1.005)","0.3129039981","1","1.3129039981"
"Sex (F)","Diameter (0.18967907051061,0.63200151992758)","0.3126645918","0.9992348891","1.3118994809"
"Sex (F)","Diameter (0.055,0.65), ShellWeight (0.00277939303661697,0.857972506557938)","0.3124251855","0.9984697781","1.3108949636"
"Sex (F)","WholeWeight (0.106880526449429,2.8255), Rings (4.18851779693796,26.6104570454481)","0.3121857793","0.9977046672","1.3098904465"
"Sex (F)","ShellWeight (0.0015,0.71465166487261)","0.3112281542","0.9946442234","1.3058723776"
"Sex (F), Diameter (0.258956378848598,0.62161470193947)","ShellWeight (0.0015,0.728994736495882), Height (0.00114909492163861,0.78190435804725)","0.3085946852","0.9961360124","1.3047306976"
"Sex (F)","Sex (F), ShellWeight (0.0015,0.690474191272368)","0.3107493416","0.9931140015","1.3038633431"
"WholeWeight (0.965603485529486,1.93584732111495)","VisceraWeight (0.194243307693221,0.729689972503438)","0.3418721571","0.9583892617","1.3002614188"
"Sex (F), Diameter (0.258956378848598,0.630996599130012)","ShellWeight (0.0015,0.684432820064201), Height (0.0160638823096815,0.656870779218661)","0.3078764664","0.9915188897","1.2993953561"
"Sex (F)","Sex (F), ShellWeight (0.0015,0.641734095723626)","0.3095523103","0.9892884468","1.2988407571"
"Sex (F)","Sex (F), ShellWeight (0.0015,0.638497073123228)","0.3095523103","0.9892884468","1.2988407571"
"WholeWeight (0.5155492267097,2.8255), Rings (4.20225226933781,29)","VisceraWeight (0.00626779158251111,0.668937024571886), ShellWeight (0.219878436910876,0.764821998185325)","0.5295666746","0.7632850242","1.2928516988"
"Sex (I)","Diameter (0.13744649788337,0.65)","0.3131434044","0.9746646796","1.287808084"
"ShellWeight (0.310778287474308,1.005)","Diameter (0.0941097312993952,0.65)","0.2877663395","1","1.2877663395"
"Height (0.161467874347863,1.10404517280411)","ShellWeight (0.0995360865163934,0.916366233539462)","0.2870481207","0.9991666667","1.2862147874"
"Sex (F)","ShellWeight (0.0886135732118109,0.829875435391848)","0.3045247785","0.9732211171","1.2777458956"
"WholeWeight (1.0948611642389,2.06532466116869), VisceraWeight (5e-04,0.530682445357117)","ShellWeight (0.175368718253332,1.005), Height (0.0845816529032891,1.13)","0.2767536509","0.9974115617","1.2741652126"
"ShellWeight (0.204923720005889,1.005), Sex (M)","Diameter (0.13321946259879,0.65)","0.2647833373","1","1.2647833373"
"Diameter (0.146525656060367,0.65)","ShellWeight (0.178278309801174,1.005)","0.6279626526","0.6352627755","1.2632254281"
"Diameter (0.139394217018862,0.3525)","ShellWeight (0.0015,0.902907490501637)","0.2576011492","1","1.2576011492"
"Length (0.581126020459342,0.672607902971504)","VisceraWeight (0.12962454440679,0.66250885786963), Diameter (0.352930599003666,0.540922091883112)","0.2784294949","0.9740368509","1.2524663458"
"Length (0.619405279336788,0.815)","ShellWeight (0.153792868752786,1.005), Height (0.0675757717585657,0.700798906898126)","0.2418003352","0.9990108803","1.2408112155"
"Sex (F)","ShellWeight (0.125708896452652,0.917437717695924)","0.2927938712","0.9357306809","1.2285245521"
"WholeWeight (1.01985476764693,2.09769605979341), ShellWeight (0.0015,1.005)","VisceraWeight (5e-04,0.401252830366277)","0.3016519033","0.9251101322","1.2267620355"
"ShellWeight (0.0015,0.956832254247656)","VisceraWeight (0.122070746149255,0.38025)","0.610725401","0.6108716475","1.2215970485"
"Length (0.603411068771966,0.730788375693191), ShellWeight (0.153917708624912,1.005)","Diameter (0.469829193898186,0.65)","0.266219775","0.9512403764","1.2174601514"
"Sex (F)","ShellWeight (0.130176143092013,1.005), Diameter (0.114851734262793,0.65)","0.2896815897","0.9257842387","1.2154658284"
"Rings (11.9319331930201,19.2993007391524)","ShellWeight (0.0562154141977053,0.931486253278969)","0.2145080201","0.9977728285","1.2122808486"
