"rule_id","support","confidence","lift","rhs","antecedent_length","lhs_1","lhs_2","lhs_3","lhs_4","lhs_5","lhs_6","lhs_7","lhs_8"
30,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",4,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","ShellWeight=[0.388,0.534)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
31,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",4,"ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
32,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",4,"Diameter=[0.429,0.494)","ShellWeight=[0.388,0.534)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
33,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",4,"Length=[0.602,0.67)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
34,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",4,"Sex=F","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
35,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",4,"Diameter=[0.429,0.494)","Length=[0.602,0.67)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
36,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=26",4,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","ShuckedWeight=[0.28,0.419)","WholeWeight=[1,1.34)",NA,NA,NA,NA
37,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=26",4,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Length=[0.53,0.602)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
38,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=26",4,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","ShellWeight=[0.289,0.388)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
39,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)","WholeWeight=[1.34,1.78)",NA,NA,NA
40,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Sex=F","ShuckedWeight=[0.419,0.574)","WholeWeight=[1.34,1.78)",NA,NA,NA
41,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)",NA,NA,NA
42,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",5,"Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=F","ShellWeight=[0.388,0.534)","VisceraWeight=[0.16,0.234)",NA,NA,NA
43,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA
44,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",5,"Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=F","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA
45,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=F","ShuckedWeight=[0.419,0.574)",NA,NA,NA
46,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=F","VisceraWeight=[0.16,0.234)",NA,NA,NA
47,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=26",5,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)","WholeWeight=[1,1.34)",NA,NA,NA
48,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=26",5,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)","WholeWeight=[1,1.34)",NA,NA,NA
49,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=26",5,"Diameter=[0.494,0.65]","Sex=M","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)","WholeWeight=[1,1.34)",NA,NA,NA
50,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=26",5,"Diameter=[0.494,0.65]","Sex=M","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)",NA,NA,NA
51,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=26",5,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","Sex=M","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)",NA,NA,NA
52,0.000239406272444338,0.333333333333333,1392.33333333333,"Rings=29",7,"Height=[0.174,0.2)","Length=[0.67,0.815]","Sex=F","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.315,0.413)","WholeWeight=[1.78,2.83]",NA
53,0.000239406272444338,0.5,1044.25,"Rings=24",3,"Sex=F","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA,NA
54,0.000239406272444338,0.5,1044.25,"Rings=24",4,"ShellWeight=[0.534,1]","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
55,0.000239406272444338,0.5,1044.25,"Rings=24",4,"Height=[0.2,1.13]","Length=[0.67,0.815]","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
56,0.000239406272444338,0.5,1044.25,"Rings=24",4,"Length=[0.67,0.815]","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
57,0.000239406272444338,0.5,1044.25,"Rings=24",4,"Diameter=[0.494,0.65]","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
58,0.000239406272444338,0.5,1044.25,"Rings=24",5,"Height=[0.2,1.13]","Length=[0.67,0.815]","ShellWeight=[0.534,1]","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)",NA,NA,NA
59,0.000239406272444338,0.5,1044.25,"Rings=24",5,"Height=[0.2,1.13]","Length=[0.67,0.815]","Sex=F","ShellWeight=[0.534,1]","VisceraWeight=[0.234,0.315)",NA,NA,NA
60,0.000239406272444338,0.5,1044.25,"Rings=24",5,"Height=[0.2,1.13]","Sex=F","ShellWeight=[0.534,1]","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)",NA,NA,NA
61,0.000239406272444338,0.5,1044.25,"Rings=24",5,"Height=[0.174,0.2)","Length=[0.67,0.815]","Sex=M","ShellWeight=[0.534,1]","WholeWeight=[1.34,1.78)",NA,NA,NA
62,0.000239406272444338,0.5,1044.25,"Rings=24",5,"Length=[0.67,0.815]","Sex=F","ShellWeight=[0.534,1]","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)",NA,NA,NA
63,0.000239406272444338,0.5,1044.25,"Rings=24",5,"Height=[0.174,0.2)","Sex=M","ShellWeight=[0.534,1]","VisceraWeight=[0.315,0.413)","WholeWeight=[1.34,1.78)",NA,NA,NA
64,0.000239406272444338,0.5,1044.25,"Rings=24",6,"Height=[0.174,0.2)","Length=[0.67,0.815]","Sex=M","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.315,0.413)","WholeWeight=[1.34,1.78)",NA,NA
65,0.000239406272444338,0.5,1044.25,"Rings=24",6,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Sex=M","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.315,0.413)","WholeWeight=[1.34,1.78)",NA,NA
66,0.000239406272444338,0.5,1044.25,"Rings=27",7,"Diameter=[0.429,0.494)","Height=[0.174,0.2)","Length=[0.53,0.602)","Sex=F","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.28,0.419)","WholeWeight=[1,1.34)",NA
67,0.000239406272444338,0.5,1044.25,"Rings=27",7,"Diameter=[0.429,0.494)","Height=[0.174,0.2)","Length=[0.53,0.602)","Sex=F","ShellWeight=[0.388,0.534)","VisceraWeight=[0.16,0.234)","WholeWeight=[1,1.34)",NA
68,0.000239406272444338,0.25,1044.25,"Rings=25",3,"ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA,NA
69,0.000239406272444338,0.25,1044.25,"Rings=26",3,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","ShuckedWeight=[0.28,0.419)",NA,NA,NA,NA,NA
70,0.000239406272444338,0.25,1044.25,"Rings=25",4,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","ShuckedWeight=[0.419,0.574)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
71,0.000239406272444338,0.25,1044.25,"Rings=25",4,"Height=[0.2,1.13]","Length=[0.602,0.67)","ShellWeight=[0.388,0.534)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
72,0.000239406272444338,0.25,1044.25,"Rings=25",4,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
73,0.000239406272444338,0.25,1044.25,"Rings=25",4,"Height=[0.2,1.13]","Sex=F","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
74,0.000239406272444338,0.25,1044.25,"Rings=25",4,"Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=F","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
75,0.000239406272444338,0.25,1044.25,"Rings=25",4,"Diameter=[0.429,0.494)","Sex=F","ShuckedWeight=[0.419,0.574)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
76,0.000239406272444338,0.25,1044.25,"Rings=25",4,"Length=[0.602,0.67)","Sex=F","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
77,0.000239406272444338,0.25,1044.25,"Rings=25",4,"Diameter=[0.429,0.494)","Sex=F","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
78,0.000239406272444338,0.25,1044.25,"Rings=26",4,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","VisceraWeight=[0.16,0.234)","WholeWeight=[1,1.34)",NA,NA,NA,NA
79,0.000239406272444338,0.25,1044.25,"Rings=26",4,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)",NA,NA,NA,NA
80,0.000239406272444338,0.25,1044.25,"Rings=26",4,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
81,0.000239406272444338,0.25,1044.25,"Rings=26",4,"Diameter=[0.494,0.65]","Sex=M","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
82,0.000239406272444338,0.25,1044.25,"Rings=26",4,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","Sex=M","ShuckedWeight=[0.28,0.419)",NA,NA,NA,NA
83,0.000239406272444338,0.25,1044.25,"Rings=26",5,"Diameter=[0.494,0.65]","Sex=M","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)","WholeWeight=[1,1.34)",NA,NA,NA
84,0.000239406272444338,0.25,1044.25,"Rings=25",6,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=F","ShellWeight=[0.388,0.534)","WholeWeight=[1.34,1.78)",NA,NA
85,0.000239406272444338,0.25,1044.25,"Rings=25",6,"Diameter=[0.429,0.494)","Length=[0.602,0.67)","Sex=F","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA
86,0.000239406272444338,0.25,1044.25,"Rings=29",6,"Height=[0.174,0.2)","Length=[0.67,0.815]","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.315,0.413)","WholeWeight=[1.78,2.83]",NA,NA
87,0.000239406272444338,0.25,1044.25,"Rings=29",6,"Height=[0.174,0.2)","Length=[0.67,0.815]","Sex=F","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.574,0.808)","WholeWeight=[1.78,2.83]",NA,NA
88,0.000239406272444338,0.2,835.4,"Rings=25",3,"Diameter=[0.429,0.494)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA,NA
89,0.000239406272444338,0.2,835.4,"Rings=25",4,"Height=[0.2,1.13]","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
90,0.000239406272444338,0.2,835.4,"Rings=25",4,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)",NA,NA,NA,NA
91,0.000239406272444338,0.2,835.4,"Rings=25",4,"Height=[0.2,1.13]","Sex=F","ShellWeight=[0.388,0.534)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
92,0.000239406272444338,0.2,835.4,"Rings=25",4,"Height=[0.2,1.13]","Length=[0.602,0.67)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
93,0.000239406272444338,0.2,835.4,"Rings=25",4,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Sex=F","ShuckedWeight=[0.419,0.574)",NA,NA,NA,NA
94,0.000239406272444338,0.2,835.4,"Rings=25",4,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","VisceraWeight=[0.16,0.234)",NA,NA,NA,NA
95,0.000239406272444338,0.2,835.4,"Rings=25",4,"Length=[0.602,0.67)","ShellWeight=[0.388,0.534)","VisceraWeight=[0.16,0.234)","WholeWeight=[1.34,1.78)",NA,NA,NA,NA
96,0.000239406272444338,0.2,835.4,"Rings=26",4,"Diameter=[0.494,0.65]","Height=[0.174,0.2)","Length=[0.53,0.602)","Sex=M",NA,NA,NA,NA
97,0.000239406272444338,0.2,835.4,"Rings=26",4,"Diameter=[0.494,0.65]","Length=[0.53,0.602)","ShuckedWeight=[0.28,0.419)","WholeWeight=[1,1.34)",NA,NA,NA,NA
98,0.000239406272444338,0.2,835.4,"Rings=26",4,"Diameter=[0.494,0.65]","Sex=M","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)",NA,NA,NA,NA
99,0.000239406272444338,0.2,835.4,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","ShellWeight=[0.388,0.534)","WholeWeight=[1.34,1.78)",NA,NA,NA
100,0.000239406272444338,0.2,835.4,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Sex=F","ShellWeight=[0.388,0.534)","WholeWeight=[1.34,1.78)",NA,NA,NA
101,0.000239406272444338,0.2,835.4,"Rings=25",5,"Diameter=[0.429,0.494)","Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=F","ShellWeight=[0.388,0.534)",NA,NA,NA
102,0.000239406272444338,0.2,835.4,"Rings=25",5,"Diameter=[0.429,0.494)","Length=[0.602,0.67)","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.16,0.234)",NA,NA,NA
103,0.000239406272444338,0.2,835.4,"Rings=26",5,"Diameter=[0.494,0.65]","ShellWeight=[0.289,0.388)","ShuckedWeight=[0.28,0.419)","VisceraWeight=[0.16,0.234)","WholeWeight=[1,1.34)",NA,NA,NA
104,0.000239406272444338,0.2,835.4,"Rings=29",6,"Height=[0.174,0.2)","Sex=F","ShellWeight=[0.388,0.534)","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.315,0.413)","WholeWeight=[1.78,2.83]",NA,NA
105,0.000239406272444338,1,696.166666666667,"Rings=22",3,"ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA,NA
106,0.000239406272444338,1,696.166666666667,"Rings=22",3,"Length=[0.602,0.67)","ShuckedWeight=[0.419,0.574)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA,NA
107,0.000239406272444338,1,696.166666666667,"Rings=22",3,"Height=[0.174,0.2)","ShellWeight=[0.2,0.289)","WholeWeight=[0.359,0.683)",NA,NA,NA,NA,NA
108,0.000239406272444338,1,696.166666666667,"Rings=22",4,"Length=[0.602,0.67)","ShellWeight=[0.534,1]","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
109,0.000239406272444338,1,696.166666666667,"Rings=22",4,"Length=[0.602,0.67)","Sex=F","ShellWeight=[0.534,1]","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
110,0.000239406272444338,1,696.166666666667,"Rings=22",4,"Height=[0.2,1.13]","Length=[0.602,0.67)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
111,0.000239406272444338,1,696.166666666667,"Rings=22",4,"Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=F","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
112,0.000239406272444338,1,696.166666666667,"Rings=22",4,"Diameter=[0.494,0.65]","Length=[0.602,0.67)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
113,0.000239406272444338,1,696.166666666667,"Rings=22",4,"Length=[0.602,0.67)","Sex=F","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA
114,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",3,"Height=[0.2,1.13]","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA,NA
115,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",3,"Length=[0.67,0.815]","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA,NA
116,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",3,"ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.234,0.315)","WholeWeight=[1.78,2.83]",NA,NA,NA,NA,NA
117,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",4,"Height=[0.2,1.13]","Length=[0.67,0.815]","ShellWeight=[0.534,1]","VisceraWeight=[0.234,0.315)",NA,NA,NA,NA
118,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",4,"Length=[0.67,0.815]","Sex=F","ShellWeight=[0.534,1]","VisceraWeight=[0.234,0.315)",NA,NA,NA,NA
119,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",4,"Sex=M","ShellWeight=[0.534,1]","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.315,0.413)",NA,NA,NA,NA
120,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",4,"Height=[0.174,0.2)","Sex=M","ShellWeight=[0.534,1]","ShuckedWeight=[0.419,0.574)",NA,NA,NA,NA
121,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",5,"Height=[0.174,0.2)","Length=[0.67,0.815]","ShellWeight=[0.534,1]","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.315,0.413)",NA,NA,NA
122,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",5,"Height=[0.174,0.2)","Length=[0.67,0.815]","Sex=M","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.315,0.413)",NA,NA,NA
123,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",5,"Height=[0.174,0.2)","Length=[0.67,0.815]","Sex=M","ShuckedWeight=[0.419,0.574)","WholeWeight=[1.34,1.78)",NA,NA,NA
124,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=24",5,"Height=[0.174,0.2)","Sex=M","ShuckedWeight=[0.419,0.574)","VisceraWeight=[0.315,0.413)","WholeWeight=[1.34,1.78)",NA,NA,NA
125,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=27",5,"Height=[0.2,1.13]","Length=[0.602,0.67)","ShellWeight=[0.534,1]","ShuckedWeight=[0.574,0.808)","WholeWeight=[1.78,2.83]",NA,NA,NA
126,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=27",5,"Height=[0.2,1.13]","Length=[0.602,0.67)","ShellWeight=[0.534,1]","ShuckedWeight=[0.574,0.808)","VisceraWeight=[0.315,0.413)",NA,NA,NA
127,0.000239406272444338,0.333333333333333,696.166666666667,"Rings=27",5,"Height=[0.2,1.13]","Length=[0.602,0.67)","Sex=M","ShuckedWeight=[0.574,0.808)","WholeWeight=[1.78,2.83]",NA,NA,NA
